algo,dv,dc,nv,nc,code_id,p_phys,p_mask,no_test,no_success,no_stop,p_log,p_error,p_std_dev
1500,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3581,3454,127.0,0.964535046076515,0.03546495392348503,0.003090697818264184
2000,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3571,3419,152.0,0.9574348921870623,0.04256510781293765,0.0033782094237356356
2500,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3565,3362,203.0,0.9430575035063112,0.056942496493688766,0.0038811244805225407
3000,5,6,84,70,swap3_f8b7dcce,0.001,0.15,2500,2355,145.0,0.942,0.05800000000000005,0.00467486898212132
3500,5,6,84,70,swap3_f8b7dcce,0.001,0.15,2488,2308,180.0,0.927652733118971,0.072347266881029,0.005193720696067484
0,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31523,31523,0.0,1.0,0.0,0.0
1,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31522,31520,2.0,0.9999365522492228,6.344775077715692e-05,4.486291153244534e-05
2,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31522,31521,1.0,0.9999682761246114,3.172387538863397e-05,3.172337218249994e-05
3,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31522,31514,8.0,0.999746208996891,0.00025379100310896074,8.971728276418001e-05
4,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31522,31517,5.0,0.9998413806230568,0.00015861937694316985,7.093111568468538e-05
5,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31522,31519,3.0,0.999904828373834,9.517162616601293e-05,5.4944749208908984e-05
6,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31522,31516,6.0,0.9998096567476684,0.00019034325233158178,7.769991148296228e-05
7,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31521,31507,14.0,0.9995558516544526,0.00044414834554740157,0.00011867727448434014
8,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31521,31505,16.0,0.9994924018908028,0.0005075981091972048,0.0001268673162311353
9,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31520,31507,13.0,0.9995875634517768,0.0004124365482232051,0.00011436572551464148
10,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31519,31504,15.0,0.999524096576668,0.00047590342333203584,0.00012284849308414039
11,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31519,31507,12.0,0.9996192772613344,0.00038072273866562867,0.00010988426413382447
12,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31518,31502,16.0,0.9994923535757344,0.0005076464242655954,0.00012687938886562236
13,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31516,31503,13.0,0.9995875111054704,0.0004124888945296057,0.00011438023777869445
14,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31516,31496,20.0,0.9993654017007234,0.0006345982992765897,0.00014185546150742839
15,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31515,31498,17.0,0.9994605743296844,0.0005394256703156186,0.00013079465083614704
16,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31513,31497,16.0,0.999492273030178,0.0005077269698220421,0.0001268995150298143
17,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31511,31489,22.0,0.9993018311065976,0.0006981688934023511,0.00014879813788031313
18,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31510,31491,19.0,0.9993970168200572,0.0006029831799427843,0.00013829211596324257
19,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31508,31485,23.0,0.999270026659896,0.0007299733401040509,0.0001521543985393898
20,5,6,84,70,swap3_f8b7dcce,0.001,0.2,31507,31482,25.0,0.9992065255340083,0.0007934744659916504,0.00015863192053123558
30,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4484,4478,6.0,0.9986619090098128,0.001338090990187224,0.0005459077551551524
40,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4484,4480,4.0,0.9991079393398752,0.000892060660124816,0.000445831342619972
50,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4483,4479,4.0,0.9991077403524424,0.0008922596475575695,0.0004459307475422541
60,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4483,4471,12.0,0.9973232210573276,0.0026767789426723754,0.0007716846288757509
70,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4483,4466,17.0,0.9962078964978808,0.003792103502119226,0.0009179746996616655
80,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4481,4467,14.0,0.9968756973889756,0.0031243026110243655,0.0008336995713550785
90,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4480,4461,19.0,0.9957589285714286,0.004241071428571441,0.0009709031074888559
100,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4479,4466,13.0,0.9970975664210762,0.0029024335789238354,0.0008038211736320647
110,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4479,4456,23.0,0.9948649252065191,0.005135074793480854,0.0010679844157523292
120,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4478,4456,22.0,0.9950870924519876,0.004912907548012435,0.001044859263976681
130,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4478,4444,34.0,0.992407324698526,0.007592675301474006,0.001297180315763187
140,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4478,4446,32.0,0.9928539526574364,0.007146047342563633,0.0012587329023328365
150,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4477,4443,34.0,0.9924056287692652,0.007594371230734809,0.0012974689503386311
160,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4476,4442,34.0,0.9924039320822162,0.0075960679177837775,0.001297757713387549
170,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4475,4429,46.0,0.9897206703910616,0.010279329608938403,0.0015077946448005472
180,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4474,4436,38.0,0.9915064818953956,0.008493518104604414,0.001371966785244725
190,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4471,4423,48.0,0.989264146723328,0.010735853276672036,0.0015412464297337508
200,5,6,84,70,swap3_f8b7dcce,0.001,0.2,4470,4428,42.0,0.9906040268456376,0.009395973154362358,0.001443002776096469
210,5,6,84,70,swap3_f8b7dcce,0.001,0.2,6174,6089,85.0,0.9862325882734048,0.013767411726595236,0.0014829705008765272
220,5,6,84,70,swap3_f8b7dcce,0.001,0.2,6172,6102,70.0,0.9886584575502269,0.011341542449773145,0.0013478645327135701
230,5,6,84,70,swap3_f8b7dcce,0.001,0.2,6168,6086,82.0,0.9867055771725032,0.013294422827496821,0.001458331822262357
240,5,6,84,70,swap3_f8b7dcce,0.001,0.2,6162,6103,59.0,0.9904251866277184,0.00957481337228161,0.0012405525044332844
250,5,6,84,70,swap3_f8b7dcce,0.001,0.2,6160,6072,88.0,0.9857142857142858,0.014285714285714235,0.0015119455435946246
260,5,6,84,70,swap3_f8b7dcce,0.001,0.2,5963,5904,59.0,0.9901056515176924,0.009894348482307636,0.0012817459864738175
270,5,6,84,70,swap3_f8b7dcce,0.001,0.2,5960,5880,80.0,0.9865771812080536,0.0134228187919464,0.0014906108116753294
280,5,6,84,70,swap3_f8b7dcce,0.001,0.2,5956,5871,85.0,0.9857286769644056,0.014271323035594419,0.001536857034904925
290,5,6,84,70,swap3_f8b7dcce,0.001,0.2,5956,5872,84.0,0.9858965748824716,0.014103425117528379,0.0015279200603411564
300,5,6,84,70,swap3_f8b7dcce,0.001,0.2,5949,5871,78.0,0.9868885526979324,0.013111447302067591,0.001474814463728475
310,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3639,3582,57.0,0.9843363561417972,0.015663643858202847,0.0020583874969172596
320,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3637,3568,69.0,0.9810283200439924,0.01897167995600757,0.0022621532171360195
