0.006,0.3,1,55,81
0.008,0.1,1,154,171
0.008,0.2,1,138,171
0.008,0.3,1,129,171
0.01,0.1,1,166,182
0.01,0.2,1,141,182
0.01,0.3,1,129,182
0.002,0.1,1,39,42
0.002,0.2,1,34,42
0.002,0.3,1,31,42
0.004,0.1,1,58,62
0.004,0.2,1,48,62
0.004,0.3,1,46,62
0.006,0.1,1,107,122
0.006,0.2,1,110,122
0.006,0.3,1,89,122
0.008,0.1,1,135,146
0.008,0.2,1,113,146
0.008,0.3,1,100,146
0.01,0.1,1,170,199
0.01,0.2,1,152,199
0.01,0.3,0,135,199
0.002,0.1,1,15,15
0.002,0.2,1,13,15
0.002,0.3,1,10,15
0.004,0.1,1,101,108
0.004,0.2,1,85,108
0.004,0.3,1,83,108
0.006,0.1,1,115,131
0.006,0.2,1,106,131
0.006,0.3,1,85,131
0.008,0.1,1,158,173
0.008,0.2,1,144,173
0.008,0.3,1,104,173
0.01,0.1,1,191,208
0.01,0.2,1,163,208
0.01,0.3,1,130,208
0.002,0.1,1,30,33
0.002,0.2,1,27,33
0.002,0.3,1,22,33
0.004,0.1,1,64,69
0.004,0.2,1,57,69
0.004,0.3,0,42,69
0.006,0.1,1,96,103
0.006,0.2,1,81,103
0.006,0.3,1,61,103
0.008,0.1,1,135,143
0.008,0.2,1,113,143
0.008,0.3,1,108,143
0.01,0.1,1,184,201
0.01,0.2,1,166,201
0.01,0.3,1,141,201
0.002,0.1,1,51,56
0.002,0.2,1,45,56
0.002,0.3,1,37,56
0.004,0.1,1,62,71
0.004,0.2,1,56,71
0.004,0.3,1,45,71
0.006,0.1,1,92,101
0.006,0.2,1,87,101
0.006,0.3,1,72,101
0.008,0.1,1,154,169
0.008,0.2,1,142,169
0.008,0.3,1,125,169
0.01,0.1,1,166,182
0.01,0.2,1,139,182
0.01,0.3,1,135,182
0.002,0.1,1,31,32
0.002,0.2,1,21,32
0.002,0.3,1,23,32
0.004,0.1,1,60,63
0.004,0.2,1,53,63
0.004,0.3,1,39,63
0.006,0.1,1,137,156
0.006,0.2,1,124,156
0.006,0.3,1,104,156
0.008,0.1,1,117,130
0.008,0.2,1,101,130
0.008,0.3,1,86,130
0.01,0.1,1,137,159
0.01,0.2,0,119,159
0.01,0.3,1,109,159
0.002,0.1,1,36,42
0.002,0.2,1,31,42
0.002,0.3,1,33,42
